"","date","province","country","lat","long","type","cases"
"65","2020-03-26","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",14
"66","2020-03-27","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",9
"67","2020-03-28","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",9
"68","2020-03-29","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",6
"69","2020-03-30","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",1
"70","2020-03-31","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",2
"71","2020-04-01","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",4
"72","2020-04-02","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",3
"73","2020-04-03","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",4
"74","2020-04-04","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",2
"75","2020-04-05","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",3
"76","2020-04-06","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"77","2020-04-07","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"78","2020-04-08","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",3
"79","2020-04-09","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",1
"80","2020-04-10","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",3
"81","2020-04-11","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"82","2020-04-12","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"83","2020-04-13","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",-1
"84","2020-04-14","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",1
"85","2020-04-15","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"86","2020-04-16","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"87","2020-04-17","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"88","2020-04-18","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"89","2020-04-19","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"90","2020-04-20","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",1
"91","2020-04-21","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"92","2020-04-22","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"93","2020-04-23","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"94","2020-04-24","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",1
"95","2020-04-25","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",1
"96","2020-04-26","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"97","2020-04-27","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"98","2020-04-28","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"99","2020-04-29","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"100","2020-04-30","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"101","2020-05-01","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"102","2020-05-02","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"103","2020-05-03","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"104","2020-05-04","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",1
"105","2020-05-05","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"106","2020-05-06","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"107","2020-05-07","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"108","2020-05-08","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"109","2020-05-09","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"110","2020-05-10","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"111","2020-05-11","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"112","2020-05-12","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"113","2020-05-13","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"114","2020-05-14","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"115","2020-05-15","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"116","2020-05-16","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"117","2020-05-17","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"118","2020-05-18","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"119","2020-05-19","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"120","2020-05-20","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"121","2020-05-21","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"122","2020-05-22","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"123","2020-05-23","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"124","2020-05-24","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"125","2020-05-25","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"126","2020-05-26","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"127","2020-05-27","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"128","2020-05-28","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"129","2020-05-29","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"130","2020-05-30","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"131","2020-05-31","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"132","2020-06-01","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"133","2020-06-02","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"134","2020-06-03","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"135","2020-06-04","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"136","2020-06-05","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"137","2020-06-06","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",1
"138","2020-06-07","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"139","2020-06-08","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"140","2020-06-09","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"141","2020-06-10","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"142","2020-06-11","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"143","2020-06-12","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"144","2020-06-13","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"145","2020-06-14","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"146","2020-06-15","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"147","2020-06-16","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"148","2020-06-17","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"149","2020-06-18","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"150","2020-06-19","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"151","2020-06-20","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"152","2020-06-21","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"153","2020-06-22","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"154","2020-06-23","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"155","2020-06-24","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"156","2020-06-25","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"157","2020-06-26","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"158","2020-06-27","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"159","2020-06-28","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"160","2020-06-29","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"161","2020-06-30","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"162","2020-07-01","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"163","2020-07-02","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"164","2020-07-03","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"165","2020-07-04","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"166","2020-07-05","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"167","2020-07-06","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"168","2020-07-07","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",3
"169","2020-07-08","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",1
"170","2020-07-09","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",1
"171","2020-07-10","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"172","2020-07-11","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"173","2020-07-12","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"174","2020-07-13","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"175","2020-07-14","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"176","2020-07-15","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"177","2020-07-16","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"178","2020-07-17","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"179","2020-07-18","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"180","2020-07-19","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"181","2020-07-20","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"182","2020-07-21","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"183","2020-07-22","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"184","2020-07-23","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"185","2020-07-24","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"186","2020-07-25","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"187","2020-07-26","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"188","2020-07-27","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"189","2020-07-28","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"190","2020-07-29","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"191","2020-07-30","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"192","2020-07-31","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"193","2020-08-01","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"194","2020-08-02","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"195","2020-08-03","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"196","2020-08-04","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
